datacontrol,Unnamed: 1,pass,Unnamed: 3,temperature [K],name1,label name1,ex [nm],label name2,em [nm],Int [a.u.],Unnamed: 11,name2,label name,ex [nm].1,label name2.1,em [nm].1,Int [a.u.].1
,,C:\Users\chiha\Desktop\tex\master_fig\maste_fig\UVSOR_datamatome\LHB3I3\data_plot,,13,LHB3I3_13K_ex420,Ex:420nm,420,Em:709nm,709,32.83873462,,LHB3I3_13K_ex391,Ex:391nm,391,Em:589nm,589,39.34116707
,,,,25,LHB3I3_25K_ex410,Ex:410nm,410,Em:719nm,719,8.751831429,,LHB3I3_25K_ex325,Ex:325nm,325,Em:586nm,586,22.30411302
,,,,50,LHB3I3_50K_ex410,Ex:410nm,410,Em:718nm,718,8.419966044,,LHB3I3_50K_ex325,Ex:325nm,325,Em:585nm,585,22.35010459
,,,,100,LHB3I3_100K_ex410,Ex:410nm,410,Em:701nm,701,16.93942442,,LHB3I3_100K_ex325,Ex:325nm,325,Em:588nm,588,44.775173
,,,,150,LHB3I3_150K_ex410,Ex:410nm,410,Em:677nm,677,14.13428703,,LHB3I3_150K_ex325,Ex:325nm,325,Em:608nm,608,26.83227703
,,,,200,LHB3I3_200K_ex415,Ex:415nm,415,Em:671nm,671,12.30615751,,LHB3I3_200K_ex325,Ex:325nm,325,Em:605nm,605,17.9137776
,,,,250,LHB3I3_250K_ex420,Ex:420nm,420,Em:665nm,665,11.46252801,,LHB3I3_250K_ex305,Ex:305nm,305,Em:629nm,629,14.31174564
,,,,300,LHB3I3_300K_ex452,Ex:452nm,452,Em:644nm,644,8.934515866,,LHB3I3_300K_ex325,Ex:325nm,325,Em:610nm,610,3.434398356
