fitting parameter,base,,,fit 1,fit 2,fit 3,fit1_1,fit2_2,fit3_1,,,,,,,,,,,,,,
y = base + ġ (ai * exp((x-bi)^2/ci^2) ),0,,a1,1,0.8,0.8,,,,,,,,,,,,,,,,,
,,,b1,2.2,2.2,2.2,,,,,,,,,,,,,,,76.225,2.159,0.218
,,,c1,0.213,0.213,0.213,,,,,,,,,,,,,,,,,
,,,a2,,0.2,0.2,,,,,,,,,,,,,,,,,
,,,b2,,1.7,1.7,,,,,,,,,,,,,,,,,
,,,c2,,0.13,0.13,,,,,,,,,,,,,,,,,
,,,a3,,,0.01,,,,,,,,,,,,,,,,,
,,,b3,,,2.3,,,,,,,,,,,,,,,,,
,,,c3,,,0.8,,,,,,,,,,,,,,,,,
