,wave,Raw data,fit sum,fit 1,fit 2,resi
623,1.4928062593347193,43.37133284287385,42.9724285317154,-21.94712930300354,65.32551973268764,0.8637220363676645
624,1.4920502437956553,43.49864152870801,43.09883560493054,-21.743665270083973,65.2484627729832,0.8656742406069617
625,1.4912950115558887,43.59852858493408,43.22279919924119,-21.540820546295116,65.169581643505,0.8135428498914687
626,1.4905405631910391,43.901911399669366,43.34431085507361,-21.338616733457286,65.08888948649958,1.207336858454433
627,1.489786897482106,43.89317383147359,43.4633629474299,-21.137074520535286,65.00639936593387,0.9306420653642622
628,1.489034011424532,43.806988528362396,43.5799486536226,-20.936213691923648,64.92212424351493,0.4915949451070878
629,1.4882819055960559,43.83304602129093,43.694061115960395,-20.736054560944563,64.83607757487366,0.30093514183349157
630,1.4875305787852282,43.973146168143735,43.80569428409091,-20.536616534795133,64.74827271685474,0.3625728733482103
631,1.4867800280004324,44.2541209990817,43.91484288207734,-20.337918123975435,64.65872290402147,0.7346172450806043
632,1.4860302538214936,44.154425585851214,44.02150162362699,-20.139978360960182,64.56744188255587,0.2878117686944792
633,1.4852812550444539,44.39430047791184,44.12566600119193,-19.942815380521154,64.47444327968178,0.5816570811111643
634,1.4845330304678437,44.27654371271845,44.227332013829745,-19.746446895951376,64.37974080774981,0.10655494961643308
635,1.4837855771171737,44.43482523504059,44.32649639586481,-19.550889736845463,64.28334803067897,0.2345575190664917
636,1.4830388955750022,44.163993894566765,44.42315590272808,-19.356161246111785,64.18527904680856,-0.5611469497237676
637,1.4822929846472748,44.48006055443684,44.517308028577546,-19.162277882629652,64.08554780917589,-0.08064957764164493
638,1.4815478431423983,44.51934618201191,44.6089507573418,-18.969255690803163,63.984168346113655,-0.1940150660368567
639,1.4808034681028652,44.464162883802885,44.69808276710875,-18.77710984695668,63.88115451203413,-0.5064917883917719
640,1.4800598618805034,44.59902141519882,44.78470258409592,-18.58585648622496,63.77652096828957,-0.40204357994824136
641,1.4793170197560974,44.91216341627079,44.86881004602423,-18.395509513203887,63.67028145719681,0.09387028464048486
642,1.4785749405531492,45.055800311862484,44.95040503219114,-18.206083342549892,63.562450272709725,0.22820566996858416
643,1.4778336266201428,45.0166478350056,45.02948751827691,-18.017592879845267,63.45304229609087,-0.02780094642047537
644,1.4770930732557745,45.544220034449275,45.10605870527436,-17.83005083347493,63.34207143671798,0.9487227510614704
645,1.4763532810485438,45.38633925243289,45.18011968363194,-17.64347085922138,63.22955244082202,0.4465140659582145
646,1.4756142488263095,45.25979710122465,45.25167218604249,-17.4578657685467,63.11549985255789,0.017592360097751225
647,1.4748759754193363,45.24667958684887,45.32071839127502,-17.27324798061788,62.9999282698616,-0.16031149611662743
648,1.4741384596602884,45.079991785694865,45.387260918901475,-17.089629525250096,62.88285234212026,-0.6653102361200647
649,1.4734016986334868,45.05820348613677,45.451302973240914,-16.907021612998705,62.76428648420831,-0.8511532214597106
650,1.4726656929306094,45.09306476542972,45.51284787822324,-16.72543594194093,62.64424571813286,-0.9089295725128288
651,1.471930441391473,45.44521911597535,45.57189954352145,-16.544883392404444,62.522744833894585,-0.2742930416828271
652,1.4711959428582702,45.30505873351324,45.628462297842,-16.36537446795212,62.3997986637628,-0.7002450897043433
653,1.4704621961755615,45.32688408216606,45.6825408833275,-16.186919298719214,62.27542208001541,-0.7700809641667528
654,1.4697291984482517,45.624108073864754,45.73414056965419,-16.0095272242929,62.14962969191577,-0.2382463379597688
655,1.4689969520113952,45.27886831512987,45.78326666345567,-15.833208481851381,62.022437043275744,-1.0921415396370593
656,1.4682654522343142,45.610923185682346,45.829925346719364,-15.657971263496716,61.89385850818477,-0.4741913968051237
