,wave,Raw data,fit sum,fit 1,resi
827,1.42962249097967,0.3123933276036197,0.8633950478768068,0.8633950478768068,-2.676030805302123
828,1.4289364872728827,0.2915671057633784,0.8609270653817088,0.8609270653817088,-2.7651906249744753
829,1.4282511613484532,0.3340917109375908,0.8584935213773874,0.8584935213773874,-2.546843952496801
830,1.4275665154902508,0.2401284172363934,0.8560939740962709,0.8560939740962709,-2.9915384009052803
831,1.4268825470457358,0.37585317480478964,0.8537279696195506,0.8537279696195506,-2.3208778211576138
832,1.4261992550110172,0.3679811978497184,0.8513950652819998,0.8513950652819998,-2.3477792416285723
833,1.425516640022975,0.3873072703125065,0.8490948292190381,0.8490948292190381,-2.242747504538566
834,1.4248346994397554,0.43964609062500737,0.8468268237015288,0.8468268237015288,-1.9775404412495015
835,1.424153432263407,0.41871056250000704,0.8445906218512049,0.8445906218512049,-2.0683568058964563
836,1.4234728391320406,0.41111981116179186,0.8423858072042901,0.8423858072042901,-2.0945144964644293
837,1.4227929174144223,0.3879860510223103,0.8402119577347783,0.8402119577347783,-2.1963097623692445
838,1.4221136661184977,0.3774999415352208,0.8380686618772079,0.8380686618772079,-2.236828013862939
839,1.4214350858835836,0.43296568902644833,0.8359555181063058,0.8359555181063058,-1.957186624220443
840,1.420757174089003,0.3801649952427351,0.8338721196218257,0.8338721196218257,-2.2035035404635757
841,1.4200799297485542,0.34725879949141486,0.8318180697058573,0.8318180697058573,-2.353342079305416
842,1.4194033535027384,0.3156898177194681,0.8297929813179837,0.8297929813179837,-2.4968268741716524
843,1.4187274427413703,0.30732885576152436,0.8277964624156998,0.8277964624156998,-2.527736842414751
844,1.41805219810573,0.32954540160195633,0.8258281353683969,0.8258281353683969,-2.410279015172748
845,1.4173776169925947,0.27713148491928946,0.8238876177176511,0.8238876177176511,-2.655411408935076
846,1.4167036984254244,0.2215673877092454,0.8219745364832208,0.8219745364832208,-2.9159764238960384
847,1.4160304430466457,0.2964687579766971,0.8200885277829331,0.8200885277829331,-2.543045843072807
848,1.415357848263423,0.2656444283419198,0.8182292231572419,0.8182292231572419,-2.6837192681253295
849,1.4146859147189363,0.2760251080498215,0.816396267651131,0.816396267651131,-2.6244017326715094
850,1.4140146398272426,0.2547924074306045,0.8145893018921173,0.8145893018921173,-2.718746020518309
851,1.413344022621346,0.3421515708040525,0.8128079754134315,0.8128079754134315,-2.2858205176255746
852,1.4126740637455364,0.37422828056693247,0.8110519462972748,0.8110519462972748,-2.1215062366771296
853,1.4120047622320229,0.38492051715455916,0.809320872569035,0.809320872569035,-2.061170379481251
854,1.411336113902218,0.36095591052668974,0.8076144083797074,0.8076144083797074,-2.1692707222620484
855,1.4106681226157192,0.36095591052668974,0.8059322326390502,0.8059322326390502,-2.1611009581101346
856,1.4100007825959182,0.36095591052668974,0.8042740039965687,0.8042740039965687,-2.153047496993326
857,1.4093340960952543,0.3779429222268991,0.8026394054198656,0.8026394054198656,-2.062608572917659
858,1.4086680621553516,0.3219176404464345,0.8010281158195013,0.8010281158195013,-2.326879107755957
859,1.4080026782209394,0.3023543377815193,0.7994398143579132,0.7994398143579132,-2.414177668133586
860,1.4073379433419113,0.34123687802524044,0.7978741881486612,0.7978741881486612,-2.2177344712004103
861,1.4066738581657623,0.26659131095721905,0.7963309319385636,0.7963309319385636,-2.572767910474585
862,1.406010421741568,0.2889485654670311,0.7948097405393679,0.7948097405393679,-2.45679829643497
863,1.4053476315275162,0.3436870047362591,0.7933103090508536,0.7933103090508536,-2.1836697942268413
864,1.4046854865808889,0.32551768641511813,0.7918323401294305,0.7918323401294305,-2.2647340877349635
865,1.4040239875505465,0.303816507320777,0.7903755436863084,0.7903755436863084,-2.363054273708478
866,1.403363131904696,0.3111870524315533,0.7889396263132001,0.7889396263132001,-2.3202842350216146
867,1.4027029202928658,0.3338456822095184,0.7875243052527949,0.7875243052527949,-2.2033651190216377
868,1.4020433517751745,0.3704877462963881,0.786129297875542,0.786129297875542,-2.0186318028878802
869,1.4013844238297957,0.3691431892240702,0.7847543218838008,0.7847543218838008,-2.0184840683846192
870,1.4007261355249618,0.3230764666543726,0.7833991019773519,0.7833991019773519,-2.2356328613482397
871,1.4000684875115115,0.2907688199889354,0.7820633695742435,0.7820633695742435,-2.3860530753252043
872,1.399411478856836,0.29447900792731435,0.7807468562551824,0.7807468562551824,-2.361640070938773
873,1.3987551070523008,0.24971451035745923,0.7794492939559083,0.7794492939559083,-2.5727444169260725
874,1.3980993711733505,0.19454619957643626,0.7781704212575717,0.7781704212575717,-2.8344673682050465
875,1.397444271872098,0.2918192993646544,0.7769099831218306,0.7769099831218306,-2.3559229768931864
876,1.396789808223136,0.18660323018873998,0.7756677247029075,0.7756677247029075,-2.8608889512143043
877,1.3961359777309197,0.23885735773322186,0.774443391528851,0.774443391528851,-2.6011619793420677
878,1.3954827810484962,0.3691431892240702,0.7732367383185007,0.7732367383185007,-1.9625470226561532
879,1.3948302156868257,0.2971876448317158,0.7720475171627859,0.7720475171627859,-2.306235352459051
880,1.3941782822995668,0.21973476926102556,0.7708754890986582,0.7708754890986582,-2.67670587963074
881,1.3935269799702208,0.25177036557920546,0.7697204153867138,0.7697204153867138,-2.5155099120297777
882,1.3928763062194618,0.29800997935686857,0.7685820576794099,0.7685820576794099,-2.285410973094275
883,1.39222626170185,0.24282294614263367,0.7674601862193297,0.7674601862193297,-2.547987355389466
884,1.3915768439445002,0.29636983618211643,0.7663545688476769,0.7663545688476769,-2.2825584319612604
885,1.3909280536025623,0.29528640050707683,0.7652649817658574,0.7652649817658574,-2.2825285566388556
886,1.3902798882095675,0.24440091115672477,0.7641911988590445,0.7641911988590445,-2.5244473311237843
887,1.3896323499785666,0.31949541842666573,0.7631330046759988,0.7631330046759988,-2.154599166413644
888,1.3889854333333904,0.32899803621094115,0.7620901739120034,0.7620901739120034,-2.1033834548603125
889,1.388339142043537,0.3180314350039098,0.7610624992911158,0.7610624992911158,-2.151653492389361
890,1.3876934720979803,0.28991400179940746,0.7600497638369869,0.7600497638369869,-2.28329193103605
891,1.3870484226020565,0.28644416824459684,0.759051758420955,0.759051758420955,-2.295296772402979
892,1.3864039942129127,0.24634480225328126,0.7580682790230351,0.7580682790230351,-2.485269532286076
893,1.3857601860349968,0.27593516607117463,0.7570991218975911,0.7570991218975911,-2.3368521745342696
