0,1,2
58,-872.3709101304221,-3231.455162651546
59,-885.0514627386676,-3232.8263260386734
60,-860.8729446294437,-3178.8387167430724
61,-1064.766290960941,-3441.6494138229236
62,-859.7350747997339,5422.8693302044585
63,-1339.7245954332218,-3678.237414480954
64,-1054.2777085803084,-3408.6468080960794
65,-849.6956107156143,-3203.40579160322
66,-1168.9652644717087,-3487.980723220741
67,-1302.5762119247267,-3650.331830089673
68,-973.9512011701324,-2796.42470673261
69,-1180.699010512562,-3560.81535960984
70,-728.2573867698891,-3045.927827434232
71,-881.159411184248,-3231.274536657097
72,-1002.1846376615445,-3117.6681515246796
73,-885.223765411853,-3222.505987841958
74,-1132.268679879292,-3476.9015203809736
75,-1247.5953120876811,-886.859817644525
76,-1446.6844528385748,536.1394699135403
77,-1011.8720005122511,-3353.977734315157
78,-918.1942988264086,-3269.6855030120723
79,-800.9035165629784,-3185.4896231108255
80,-870.7061766187771,-3149.278279502671
81,-1324.1043199841542,-3695.153837895174
82,-1038.3383273008592,-2713.5267940539943
83,-1321.9189522038077,-3692.9798740880874
84,-1297.3133501108846,-3655.6594504728027
85,-1186.8605010462222,-3495.6443028303524
86,-1274.6590436433853,-3328.6124680842663
87,-1346.0338593370411,-3518.3135527392524
88,-1001.6421991323641,-3354.2868996432
89,-1503.25311756844,-3405.5914868380864
90,-1448.9116919040305,-1484.6667781354292
91,-1312.7542947760335,-3681.2781561454944
92,-1592.4538211128772,-3926.516059723812
93,-1538.6369385444393,-1320.869521482627
94,-1311.3169336342457,-3691.8143753159543
95,-1765.9366912737346,-4076.6844160346045
96,-1512.687136938157,-3862.8313044674696
97,-1572.0145642784626,-3943.949564353824
98,-1350.5921109545,-3054.845928689817
99,-1584.5436760511245,-2670.300484340751
100,-1580.144497389481,-3895.328031230409
101,-1452.6476209061989,-3802.6899998062017
102,-1312.115459732416,-3656.753552440107
103,-1772.587215900523,-4072.0649588545944
104,-1064.8428503159014,-3435.8606163827762
105,-1652.338405830795,-3939.5025030249562
