,wave,Raw data,fit sum,fit 1,fit 2,fit 3,resi
553,2.0635330060789654,0.031858721301453286,0.031528812514233666,0.0015045775486608925,0.029938042246251517,0.0029322872812693967,0.9042411970024089
554,2.0620788402485455,0.03160326295417742,0.03141782087435635,0.0015074542026504109,0.029829133231011943,0.0029273280026421303,0.5082749375826534
555,2.0606267532869738,0.031800678009391375,0.03130580180741146,0.001510415847527122,0.02971910505829815,0.0029223754635343273,1.356397484946148
556,2.059176747579548,0.031453311987906525,0.031192780983750865,0.0015134643758816903,0.029607981385837902,0.0029174297839794122,0.7140848506624553
557,2.0577288118269594,0.03143642084957831,0.031078783009419263,0.0015166017316481264,0.02949578480368969,0.0029124910360295857,0.9802432708877595
558,2.0562829484207406,0.03185075870180567,0.030963833553492862,0.0015198298521955016,0.029382538926110514,0.002907559337134987,2.4309575519976256
559,2.0548391461062234,0.03139041572217369,0.030847957189986654,0.0015231507272287239,0.02926826626779658,0.002902634756909492,1.4868150575887418
560,2.0533974038807203,0.03051342860132361,0.030731179285192617,0.001526566345617514,0.02915299010287016,0.0028977173986530816,-0.596829022619294
561,2.051957717339419,0.03064122591990926,0.030613524908769424,0.0015300787252528595,0.029036733392677715,0.0028928073527869896,0.07592521460966228
562,2.050520082090058,0.03093978208127079,0.030495019098042864,0.0015336899051162543,0.028919519046365683,0.002887904708509068,1.2190430443692835
563,2.0490844937528796,0.030810485590558538,0.030375686852209927,0.001537401944837084,0.028801369915519133,0.002883009553801849,1.1917322206933423
564,2.0476509479605842,0.030967401909339606,0.030255553126619147,0.001541216924227419,0.028682308788899245,0.0028781219754406193,1.9510938183751936
565,2.0462194403582896,0.030134359950414514,0.030134642827126995,0.0015451369427940907,0.02856235838727954,0.0028732420590015036,-0.0007753318099101847
566,2.044789963231576,0.03071052563644962,0.030012980516476672,0.00154916412886236,0.028441541072184568,0.0028683698773778778,1.9118891605261812
567,2.043362518998781,0.03058135470906257,0.029890591559328425,0.0015533006007654652,0.028319879983737715,0.0028635055367733876,1.8933005774864453
568,2.0419370966028736,0.03011805772229881,0.02976750010228017,0.0015575485334782353,0.028197397034499583,0.002858649096250489,0.9608372199342297
569,2.04051369846789,0.029899391677336008,0.0296437313795012,0.0015619100798988231,0.02807411520195274,0.0028538006595977797,0.7007348173064587
570,2.0390923135800225,0.029901889524230937,0.029519309383186185,0.0015663874504913482,0.027950056211016934,0.0028489602836260426,1.048607185044037
571,2.037672941020436,0.029483042078498577,0.029394258899570137,0.001570982841256648,0.027825242561920274,0.0028441280583413556,0.2433442548303133
572,2.0362555798637216,0.0291780448639589,0.02926860463400439,0.0015756984627168249,0.027699696660704473,0.0028393040725312345,-0.2482136822008485
573,2.034840219160431,0.028849723362704305,0.029142370309276903,0.0015805365738965746,0.02757343991763624,0.0028344883796922286,-0.8021108728205828
574,2.033426858013905,0.028323139925955348,0.029015580440639194,0.0015854994148394761,0.02744649452137797,0.002829681066369884,-1.897898037598711
575,2.0320154921909905,0.028707347341913058,0.028888259145708313,0.001590589250130886,0.027318882250932583,0.0028248822065929835,-0.49585798363953604
576,2.0306061174704753,0.028813411814032585,0.02876043043561518,0.001595808357167284,0.02719062476711624,0.002820091873279797,0.14521572899814927
577,2.0291987329637293,0.02879753794679604,0.02863211851380304,0.0016011590126019477,0.027061743913623038,0.0028153101495261915,0.4533952167738886
578,2.0277933278273292,0.02843029522693009,0.028503346558398743,0.0016066435424026263,0.026932260494471272,0.0028105370834729847,-0.20022511060264758
579,2.0263899012009254,0.02830090457191948,0.028374138535487113,0.0016122642452501203,0.02680219609612993,0.0028057727560552043,-0.20072568371313215
580,2.0249884489106487,0.028535436770854253,0.028244517983878274,0.0016180234419238854,0.02667157186807336,0.0028010172358291685,0.7973741905532461
581,2.0235889667943625,0.027933114494398014,0.028114508313096375,0.0016239234619717096,0.02654040882279212,0.0027962705902806824,-0.4971791298164274
