,em,inte_em,ex,inte_ex
0,566.586589,0.2320412466109914,155.0,0.10174409308675818
1,567.013043,0.2147929156883728,160.0,0.08032428401586171
2,567.439491,0.23269232532907055,165.0,0.06425942721268936
3,567.865931,0.2316092145295353,170.0,0.040162142007930855
4,568.292365,0.14252874740279095,175.0,0.05354952267724115
5,568.71879,0.1251787888141863,180.0,0.02945223747248263
6,569.145209,0.19597702767883757,185.0,0.01606485680317234
7,569.571621,0.07126437370139548,190.0,0.0374846658740688
8,569.998025,0.1781609342534887,195.0,0.040162142007930855
9,570.424422,0.2850574948055819,200.0,0.040162142007930855
10,570.850812,0.3218883140936219,205.0,0.05392051529368183
11,571.277195,0.1597499714788447,210.0,0.05161144572592626
12,571.703571,0.1781609342534887,215.0,0.05614121373970769
13,572.129939,0.08937166534557948,220.0,0.06241628191716425
14,572.5563,0.03573197963600308,225.0,0.055497426439653406
15,572.982654,0.10719593890800924,230.0,0.08917986909071704
16,573.409,0.16049425104367873,235.0,0.08014859569363707
17,573.83534,0.1597499714788447,240.0,0.09703123614052293
18,574.261672,0.2129999619717929,245.0,0.1228644154782647
19,574.687996,0.26674475566017897,250.0,0.12048249799512065
20,575.114314,0.17849326662383957,255.0,0.13041003072981164
21,575.540624,0.07139730664953582,260.0,0.11548031798710927
22,575.966927,0.07139730664953582,265.0,0.13297060884008902
23,576.393223,0.03568201347222844,270.0,0.12497034344715349
24,576.819511,0.07136402694445688,275.0,0.1279975619872033
25,577.245792,0.19625107409725645,280.0,0.11421426485361241
26,577.672066,0.01783269456040875,285.0,0.12531817520467323
27,578.098332,0.1783269456040875,290.0,0.153999467265207
28,578.524592,0.24919332439119868,295.0,0.1341067192336128
29,578.950843,0.26575698152998606,300.0,0.15195562491117603
30,579.377088,0.15945418891799162,305.0,0.12799100376953423
31,579.803325,0.24954146179781714,310.0,0.1785216670808996
32,580.229555,0.07129756051366204,315.0,0.1456505792622385
33,580.655777,0.12379072195283294,320.0,0.13067073400147652
34,581.081992,0.03549999366196548,325.0,0.09857321129808423
35,581.5082,0.28399994929572386,330.0,0.17583643207017488
36,581.934401,0.2850574948055819,335.0,0.20749476842671122
37,582.360594,0.1781609342534887,340.0,0.14213140426146018
38,582.786779,0.3023107230815361,345.0,0.16575561715969384
39,583.212957,0.3023107230815361,350.0,0.18433130151347385
40,583.639128,0.26674475566017897,355.0,0.21026918220139024
41,584.065292,0.26674475566017897,360.0,0.17210433151456062
42,584.491448,0.3378766905028933,365.0,0.1419868395015095
43,584.917597,0.23117878823882174,370.0,0.1687845610477401
44,585.343738,0.24896177194950034,375.0,0.1209875624870685
45,585.769872,0.19561282081746456,380.0,0.11123223896460645
46,586.195998,0.17749996830982742,385.0,0.10411619420050588
47,586.622117,0.2484999556337584,390.0,0.08296294890597151
48,587.048229,0.24919332439119868,395.0,0.2002361174549066
49,587.474333,0.24919332439119868,400.0,0.12853355532267816
50,587.90043,0.21359427804959888,405.0,0.13693478245188562
51,588.326519,0.19452827735445177,410.0,0.1435266255851269
52,588.752601,0.28399994929572386,415.0,0.14682648693065473
53,589.178675,0.3194999429576894,420.0,0.15192900415043453
54,589.604742,0.2642889613408802,425.0,0.18621065986503516
55,590.030801,0.21143116907270418,430.0,0.19288998773040889
56,590.456853,0.19452827735445177,435.0,0.21192611995807242
57,590.882898,0.10610633310242823,440.0,0.2668427509838273
58,591.308935,0.19345569373164795,445.0,0.0
59,591.734964,0.1941694304216847,450.0,0.10436738303899008
60,592.160986,0.2824282624315414,455.0,0.17558552663535193
61,592.587,0.30119124573398415,460.0,0.0533820484387921
62,593.013007,0.17717132101999067,465.0,0.2518185585502697
63,593.439007,0.2813900999733061,470.0,0.16116334805354154
64,593.864999,0.2824282624315414,475.0,0.1257704249338383
65,594.290983,0.24815471618062535,480.0,0.35401490667814406
66,594.71696,0.17725336870044664,485.0,0.22731984200700095
67,595.142929,0.2110425749799796,490.0,0.13478111234312184
68,595.568891,0.2813900999733061,495.0,0.21208003694600291
69,595.994845,0.19506904162754435,,
70,596.420792,0.053200647716603,,
71,596.846731,0.052857792268176045,,
72,597.272662,0.1409541127151361,,
73,597.698586,0.053053166551214115,,
74,598.124503,0.17684388850404706,,
75,598.550411,0.10532770335075001,,
76,598.976312,0.24781043467470082,,
77,599.402206,0.35401490667814406,,
78,599.828092,0.22947296322562735,,
79,600.25397,0.2803595418417126,,
80,600.679841,0.2813900999733061,,
81,601.105704,0.22947296322562735,,
82,601.53156,0.2471247296275987,,
83,601.957408,0.2638032187249745,,
84,602.383248,0.15871950243192998,,
85,602.80908,0.14108400216171552,,
86,603.234905,0.29925198217362836,,
87,603.660722,0.1752247136510704,,
88,604.086532,0.19274718501617744,,
89,604.512334,0.12333484862574409,,
90,604.938128,0.10571558453635209,,
91,605.363915,0.157991555026125,,
92,605.789694,0.21133388644526915,,
93,606.215465,0.12333484862574409,,
94,606.641228,0.12333484862574409,,
95,607.066984,0.10566694322263458,,
96,607.492732,0.1055212874899898,,
97,607.918473,0.08793440624165816,,
98,608.344205,0.1055212874899898,,
99,608.76993,0.2286294562283112,,
100,609.195648,0.07034752499332653,,
101,609.621357,0.08793440624165816,,
102,610.047059,0.07034752499332653,,
103,610.472753,0.2638032187249745,,
104,610.898439,0.15813660983082165,,
105,611.324118,0.1757073442564685,,
106,611.749788,0.26187797318480216,,
107,612.175451,0.06983412618261389,,
108,612.601106,0.24576464115174998,,
109,613.026754,0.17554617225125002,,
110,613.452393,0.157991555026125,,
111,613.878025,0.280873875602,,
112,614.303649,0.2105588365041117,,
